0.64947,	4.47198,	0.107591,	0.999477,	0.0143262,	0.0205492,	0.0204273
0.652993,	3.96607,	0.0913394,	0.999792,	0.019118,	0.00680632,	0.00204851
0.0586625,	4.4726,	0.0760046,	0.999541,	0.0103733,	0.0259925,	0.0116085
0.0660755,	3.96606,	0.0538647,	0.999331,	0.019233,	0.0123723,	0.0285246
0.0822101,	3.4489,	0.0138822,	0.999427,	0.0229636,	0.0248533,	0.000838592
0.582865,	3.45045,	-0.00893897,	0.999016,	0.0298825,	0.0324115,	-0.00495491
0.0853411,	2.96707,	0.0118066,	0.999113,	0.0294512,	0.0290993,	-0.00774112
0.588425,	2.95467,	-0.0283101,	0.998956,	0.0293702,	0.0274572,	-0.0216707
0.0735978,	2.4911,	0.014102,	0.999352,	0.0303946,	0.0189944,	0.00328131
0.574715,	2.48277,	-0.01513,	0.999109,	0.0232976,	0.0300833,	-0.0182748
0.0704517,	2.00794,	0.00384381,	0.999319,	0.0308656,	0.0197022,	-0.00460771
0.573303,	2.00089,	-0.0167544,	0.999644,	0.0190144,	0.0181363,	-0.00453442
0.0658822,	1.51019,	0.00445163,	0.999887,	0.00769289,	0.0128343,	0.00131762
0.573626,	1.51687,	-0.00410333,	0.99993,	0.00554609,	0.00511274,	0.00912834
0.0665996,	1.0275,	0.0165663,	0.999941,	0.00758536,	0.00476799,	-0.00607133
0.570114,	1.0386,	0.013384,	0.999972,	-0.00300827,	0.00580097,	0.00364719
-0.021069,	0.52756,	0.00956375,	0.999701,	-0.00555189,	0.0195934,	-0.0135688
0.498127,	0.499136,	-0.0409724,	0.999752,	-0.0201037,	0.00805542,	0.00513123
1.01161,	0.518477,	-0.0452541,	0.999798,	-0.0146624,	0.0136591,	0.00126083
1.52606,	0.529134,	-0.0631887,	0.999585,	-0.0179837,	0.00475281,	0.0220014
0.9923,	1.01127,	-0.0573062,	0.99952,	-0.0236971,	0.0134878,	0.0147172
1.49608,	1.03118,	-0.0617117,	0.999659,	-0.00803433,	0.0124247,	0.021526
2.0011,	0.422598,	-0.0310884,	0.999733,	-0.0227761,	0.000329626,	-0.00394163
1.99686,	0.921809,	-0.0493323,	0.999922,	-0.0120571,	-0.00183726,	0.00286507
2.51012,	0.425527,	-0.022116,	-0.999842,	0.0174877,	-0.00330071,	-2.19562e-05
2.49886,	0.921179,	-0.0291293,	0.999801,	-0.0171109,	0.00462032,	0.00917579
2.99167,	0.427942,	-0.000444577,	0.999901,	-0.0134884,	0.00176324,	-0.00369447
2.98495,	0.925788,	-6.30599e-05,	0.999985,	-0.00141548,	-0.00336687,	0.00415416
3.47279,	0.926004,	0.0228752,	0.999911,	-0.00820439,	-0.0043153,	0.00962343
4.02186,	0.428686,	0.0126062,	0.999688,	-0.00980742,	-0.0224229,	0.00500073
3.99985,	0.927324,	0.0310305,	-0.999958,	0.0081557,	0.000610124,	-0.00420103
